PRIORIDAD,TIPO,CUENTA,CANAL,RUT_SOSTENEDOR,EE_BASICA,MAT_BASICA,REQUIERE_ATE,NOMBRE_CONTACTO,CARGO,EMAIL,TELEFONO,DIRECCION,WEB,COMUNA,REGION,RBD,CONFIANZA,FUENTE,PROXIMO_PASO
1,Red,Cognita Chile SpA (Pumahue / Manquecura / Dunalastair / American British / Greenland / Wessex / San Francisco Javier),A · Directo Privado,76.274.886-K,21,17882,NO,,Oficina corporativa Chile,chilecomunicaciones@cognita.com,+56 2 2430 9800,Badajoz 48 piso 18 Las Condes Santiago,https://www.cognita.com/contact-us/,LAS CONDES,RM,,ALTA,cognita.com/contact-us + chilepymes.com (RUT),"CUENTA #1 DEL AÑO. 21 colegios y 17.882 alumnos sin requisito ATE, con una sola decisión corporativa. Pedir la dirección académica regional LatAm; no entrar por rectores."
1,Colegio,Colegio Pumahue Huechuraba (entrada alternativa a Cognita),A · Directo Privado,,1,1169,NO,Priscilla Molina,Encargada de Admisión y Fidelización,admision.huechuraba@pumahue.cl,+56 2 2605 9003,Av. Santa Rosa de Huechuraba 7201,https://www.pumahue.cl/huechuraba/,HUECHURABA,RM,25202,ALTA,pumahue.cl/huechuraba/admision/contacto,Puerta lateral a Cognita si la corporativa no responde. Mayor matrícula básica de la red (1.169).
1,Red,Fundación del Magisterio de La Araucanía (FMDA),B · Red Subvencionada,82.733.800-1,83,10504,SÍ,,Dirección Ejecutiva / Depto. de Educación,,+56 45 229 3800,Av. Villa Alegre 917 Padre Las Casas,https://www.fmda.cl,PADRE LAS CASAS,ARAUCANÍA,,ALTA,fmda.cl + registros19862.gob.cl (RUT confirmado),Llamar al conmutador y pedir Depto. de Educación. 83 colegios en un solo contrato — el mayor ticket del país.
1,Red,SIP Red de Colegios (Sociedad de Instrucción Primaria),B · Red Subvencionada,82.648.400,17,13502,SÍ,,Gerencia / Dirección de Educación,info@sip.cl,+56 2 2707 5800,Phillips 16 piso 7 Santiago,https://www.sip.cl,SANTIAGO,RM,,ALTA,sip.cl/contacto + registros19862.cl (RUT confirmado),"Correo a info@sip.cl pidiendo reunión con dirección de educación. 17 colegios, equipo técnico centralizado."
1,Red,Fundación Belén Educa,B · Red Subvencionada,74.805.100-7,8,6889,SÍ,,Dirección Ejecutiva,fundacion@beleneduca.cl,+56 2 2698 8867,Moneda 1958 Santiago,https://www.beleneduca.cl,SANTIAGO,RM,,ALTA,beleneduca.cl/contacto.php + registros19862.gob.cl (RUT confirmado),PUERTA CALIENTE — ya existe relación institucional vía tutorías. Primer piloto a cerrar. Genera el caso chileno con datos.
1,Red,Salesianos Chile (Fundación Educacional),B · Red Subvencionada,80.230.500,22,13608,SÍ,,Coordinación Nacional de Educación,,+56 2 2692 4100,Ricardo Cumming 4 Santiago (Salesianos Alameda),https://www.salesianos.cl,SANTIAGO,Multi-región (11),,MEDIA,salesianos.cl/contacto.php,"Entrar por Salesianos Alameda y pedir la coordinación nacional. 22 colegios en 11 regiones, 16 ciudades."
2,Red,Congregación Instituto Hijas de María Auxiliadora (Salesianas),B · Red Subvencionada,70.083.600-2,15,6697,SÍ,,Inspectoría / Coordinación educativa,,,,https://fmachile.org,Multi-comuna,Multi-región (7),,MEDIA,registros19862.gob.cl (RUT confirmado) + fmachile.org,Buscar contacto de la inspectoría en fmachile.org. 15 colegios en 7 regiones.
2,Red,Sociedad de Escuelas Católicas Santo Tomás de Aquino,B · Red Subvencionada,82.882.600,7,6244,SÍ,,Dirección,,,,https://www.tomasdeaquino.cl,QUILICURA / INDEPENDENCIA,RM,,MEDIA,tomasdeaquino.cl (vía Liceo Miguel Rafael Prado),"7 colegios concentrados en RM, alta matrícula por establecimiento (892 promedio)."
1,Colegio,Colegio Saint George's College,A · Directo Privado,,1,1457,NO,James Mc Donald,Rector,contacto@saintgeorge.cl,+56 22 355 6100,Av. Santa Cruz 5400 Vitacura,https://saintgeorge.cl,VITACURA,RM,8906,ALTA,saintgeorge.cl,"Mayor matrícula básica del país en particular pagado junto a CPV Peñalolén. Vender exclusividad territorial."
1,Colegio,Colegio Mayor de Peñalolén,A · Directo Privado,96.757.700,2,2138,NO,,Dirección / Admisión,direccion@cmpe.cl; admision@cmpe.cl,+56 22 617 6340,Valle del Aconcagua 8031 Peñalolén,https://webpe.colegiomayor.cl,PEÑALOLÉN,RM,25478,ALTA,webpe.colegiomayor.cl,Red de 2 colegios (Peñalolén + Tobalaba) bajo un mismo RUT. Una reunión = 2.138 alumnos.
1,Colegio,Colegio Pedro de Valdivia — Red CPV,A · Directo Privado,89.131.500,2,1605,NO,Jocelyn González (Peñalolén) / Carolina Huerta (Las Condes),Admisión por sede,admisionagustinas@cpdv.cl; jgonzalezs@cpdv.cl; chuerta@cpdv.cl,+56 2 3223 6100,Sedes Agustinas / Las Condes / Peñalolén,https://www.cpdv.cl,Multi-comuna,RM,25065,ALTA,cpvagustinas.cl + cpdv.cl,"Red CPV. Ojo: CPV Peñalolén (RBD 25065, 1.511 alumnos) tiene RUT distinto a Agustinas/Las Condes — verificar si decide el mismo directorio."
