TIER,PUNTAJE,CANAL,RBD,ESTABLECIMIENTO,DEPENDENCIA,COMUNA,REGION,MAT_BASICA,MAT_TOTAL,EE_EN_RED,MAT_RED,RUT_SOSTENEDOR,COPAGO,PIE,RURAL,LAT,LON,EMAIL,TELEFONO,WEB,CONTACTO,ESTADO_CRM,BUSQUEDA_WEB
1 · FACIL,76.6,B · Red Subvencionada,25727,LICEO PART. SALESIANO MANUEL ARRIARAN BARROS,Particular Subvencionado,LA CISTERNA,RM,923,1517,22,13608,RUT:80230500,$50.001 A $100.000,1,0,"-33,53056565","-70,66225954",,,,,nuevo,Liceo Part. Salesiano Manuel Arriaran Barros La Cisterna colegio sitio web
1 · FACIL,76.4,B · Red Subvencionada,9185,LICEO SALESIANO CAMILO ORTUZAR MONTT,Particular Subvencionado,MACUL,RM,915,1501,22,13608,RUT:80230500,$50.001 A $100.000,1,0,"-33,5060064","-70,59165413",,,,,nuevo,Liceo Salesiano Camilo Ortuzar Montt Macul colegio sitio web
1 · FACIL,76.0,A · Directo Privado,8906,COLEGIO SAINT GEORGE S COLLEGE,Particular Pagado,VITACURA,RM,1457,2585,2,2163,RUT:70017110,MAS DE $100.000,0,0,"-33,386459","-70,60084",,,,,nuevo,Colegio Saint George S College Vitacura colegio sitio web
1 · FACIL,76.0,A · Directo Privado,25478,COLEGIO  MAYOR DE PEÑALOLEN,Particular Pagado,PEÑALOLÉN,RM,1276,2058,2,2079,RUT:96757700,MAS DE $100.000,0,0,"-33,48988","-70,55728",,,,,nuevo,Colegio  Mayor De Peñalolen Peñalolén colegio sitio web
1 · FACIL,75.8,A · Directo Privado,8923,LYCÉE ANTOINE DE SAINT-EXUPÉRY,Particular Pagado,VITACURA,RM,1192,2200,2,1997,RUT:70005730,MAS DE $100.000,0,0,"-33,394906","-70,58243",,,,,nuevo,Lycée Antoine De Saint-Exupéry Vitacura colegio sitio web
1 · FACIL,75.4,A · Directo Privado,2200,INSTITUTO O´HIGGINS,Particular Pagado,RANCAGUA,LGBO,1245,2150,1,1245,RUT:75978360,MAS DE $100.000,0,0,"-34,174002","-70,74214",,,,,nuevo,Instituto O´Higgins Rancagua colegio sitio web
1 · FACIL,75.4,A · Directo Privado,8995,COLEGIO SANTIAGO COLLEGE,Particular Pagado,LO BARNECHEA,RM,1221,2022,1,1221,RUT:81839900,MAS DE $100.000,0,0,"-33,339544","-70,544503",,,,,nuevo,Colegio Santiago College Lo Barnechea colegio sitio web
1 · FACIL,75.4,A · Directo Privado,9046,COLEGIO THE GRANGE SCHOOL,Particular Pagado,LA REINA,RM,1275,2151,1,1275,RUT:90805000,MAS DE $100.000,0,0,"-33,437946","-70,56862",,,,,nuevo,Colegio The Grange School La Reina colegio sitio web
1 · FACIL,75.4,A · Directo Privado,25065,COLEGIO PEDRO DE VALDIVIA -PEÑALOLEN,Particular Pagado,PEÑALOLÉN,RM,1511,2731,1,1511,RUT:78913470,MAS DE $100.000,0,0,"-33,491563","-70,57566",,,,,nuevo,Colegio Pedro De Valdivia -Peñalolen Peñalolén colegio sitio web
1 · FACIL,74.8,A · Directo Privado,25202,COLEGIO  PUMAHUE HUECHURABA,Particular Pagado,HUECHURABA,RM,1169,1989,1,1169,RUT:96858860,MAS DE $100.000,0,0,"-33,357367","-70,66317",,,,,nuevo,Colegio  Pumahue Huechuraba Huechuraba colegio sitio web
1 · FACIL,74.6,B · Red Subvencionada,25091,ESC. BASICA BOSTON COLLEGE MAIPU,Particular Subvencionado,MAIPÚ,RM,1502,2501,9,5962,RUT:65096485,$50.001 A $100.000,1,0,"-33,46718282","-70,75342606",,,,,nuevo,Esc. Basica Boston College Maipu Maipú colegio sitio web
1 · FACIL,74.4,A · Directo Privado,8888,COLEGIO DEL VERBO DIVINO,Particular Pagado,LAS CONDES,RM,1072,1869,3,1736,RUT:82991800,MAS DE $100.000,0,0,"-33,420121","-70,58665",,,,,nuevo,Colegio Del Verbo Divino Las Condes colegio sitio web
1 · FACIL,74.2,A · Directo Privado,8877,COLEGIO DE LOS SAGRADOS CORAZONES,Particular Pagado,VITACURA,RM,1127,1951,1,1127,RUT:82745200,MAS DE $100.000,0,0,"-33,378682","-70,55175",,,,,nuevo,Colegio De Los Sagrados Corazones Vitacura colegio sitio web
1 · FACIL,74.2,A · Directo Privado,8996,COLEGIO SAN IGNACIO EL BOSQUE,Particular Pagado,PROVIDENCIA,RM,1129,1952,1,1129,RUT:65025633,MAS DE $100.000,0,0,"-33,433074","-70,59447",,,,,nuevo,Colegio San Ignacio El Bosque Providencia colegio sitio web
1 · FACIL,74.1,B · Red Subvencionada,17794,COLEGIO CONCEPCION DE CHILLAN,Particular Subvencionado,CHILLÁN,NUBLE,1574,2568,3,2729,RUT:71458700,MAS DE $100.000,1,0,"-36,59412","-72,087341",,,,,nuevo,Colegio Concepcion De Chillan Chillán colegio sitio web
1 · FACIL,74.1,B · Red Subvencionada,25402,COL.  PART. SALES. EL PATROCINIO DE SAN JOSE,Particular Subvencionado,PROVIDENCIA,RM,638,1055,22,13608,RUT:80230500,MAS DE $100.000,1,0,"-33,43088782","-70,6284684",,,,,nuevo,Col.  Part. Sales. El Patrocinio De San Jose Providencia colegio sitio web
1 · FACIL,74.0,A · Directo Privado,24642,COLEGIO ALEMAN DE SANTIAGO ANEXO,Particular Pagado,VITACURA,RM,1086,1086,2,1361,RUT:76166292,MAS DE $100.000,0,0,"-33,396079","-70,569628",,,,,nuevo,Colegio Aleman De Santiago Anexo Vitacura colegio sitio web
1 · FACIL,73.6,A · Directo Privado,8917,COLEGIO CRAIGHOUSE,Particular Pagado,LO BARNECHEA,RM,1090,1846,1,1090,RUT:95358000,MAS DE $100.000,0,0,"-33,353908","-70,52275",,,,,nuevo,Colegio Craighouse Lo Barnechea colegio sitio web
1 · FACIL,73.6,A · Directo Privado,26046,COLEGIO  MANQUECURA CIUDAD DE LOS VALLES,Particular Pagado,PUDAHUEL,RM,1088,1781,1,1088,RUT:99558380,MAS DE $100.000,0,0,"-33,450623","-70,84866",,,,,nuevo,Colegio  Manquecura Ciudad De Los Valles Pudahuel colegio sitio web
1 · FACIL,73.4,B · Red Subvencionada,6072,ESCUELA PARTICULAR RAMON GUINEZ,Particular Subvencionado,PUCÓN,ARAUC,688,836,83,10504,RUT:82733800,GRATUITO,1,0,"-39,278721","-71,968658",,,,,nuevo,Escuela Particular Ramon Guinez Pucón colegio sitio web
1 · FACIL,73.4,A · Directo Privado,24624,COLEGIO TABOR Y NAZARETH,Particular Pagado,LO BARNECHEA,RM,1083,1923,1,1083,RUT:87019100,MAS DE $100.000,0,0,"-33,324935","-70,54153",,,,,nuevo,Colegio Tabor Y Nazareth Lo Barnechea colegio sitio web
1 · FACIL,73.4,A · Directo Privado,25001,COLEGIO GREENLAND SCHOOL,Particular Pagado,ESTACIÓN CENTRAL,RM,1079,1699,1,1079,RUT:78715670,MAS DE $100.000,0,0,"-33,457625","-70,72278",,,,,nuevo,Colegio Greenland School Estación Central colegio sitio web
1 · FACIL,73.0,B · Red Subvencionada,7699,COLEGIO SALESIANO PADRE JOSE FERNANDEZ PEREZ,Particular Subvencionado,PUERTO MONTT,LAGOS,1436,2829,22,13608,RUT:80230500,GRATUITO,1,0,"-41,463249","-72,962486",,,,,nuevo,Colegio Salesiano Padre Jose Fernandez Perez Puerto Montt colegio sitio web
1 · FACIL,73.0,A · Directo Privado,8748,COLEGIO INSTITUTO ALONSO DE ERCILLA,Particular Pagado,SANTIAGO,RM,1061,1821,1,1061,RUT:65764640,MAS DE $100.000,0,0,"-33,43771","-70,66662",,,,,nuevo,Colegio Instituto Alonso De Ercilla Santiago colegio sitio web
1 · FACIL,73.0,A · Directo Privado,8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,Particular Pagado,PROVIDENCIA,RM,1052,1708,1,1052,RUT:83198500,MAS DE $100.000,0,0,"-33,431985","-70,58551",,,,,nuevo,Colegio Saint Gabriel´S School Local Sede Providencia colegio sitio web
1 · FACIL,73.0,A · Directo Privado,25172,COLEGIO PUMAHUE,Particular Pagado,PEÑALOLÉN,RM,1056,1774,1,1056,RUT:96863530,MAS DE $100.000,0,0,"-33,497877","-70,54718",,,,,nuevo,Colegio Pumahue Peñalolén colegio sitio web
1 · FACIL,73.0,A · Directo Privado,25487,COLEGIO  MANQUECURA VALLE LO CAMPINO,Particular Pagado,QUILICURA,RM,1050,1789,1,1050,RUT:96946770,MAS DE $100.000,0,0,"-33,387556","-70,72424",,,,,nuevo,Colegio  Manquecura Valle Lo Campino Quilicura colegio sitio web
1 · FACIL,73.0,A · Directo Privado,25650,COLEGIO AMERICAN BRITISH COLLEGE,Particular Pagado,LA FLORIDA,RM,1025,1682,2,1293,RUT:78404000,MAS DE $100.000,0,0,"-33,522063","-70,56759",,,,,nuevo,Colegio American British College La Florida colegio sitio web
1 · FACIL,72.4,B · Red Subvencionada,8697,COLEGIO ORATORIO DON BOSCO,Particular Subvencionado,SANTIAGO,RM,666,1137,22,13608,RUT:80230500,$50.001 A $100.000,1,0,"-33,4550362","-70,64155456",,,,,nuevo,Colegio Oratorio Don Bosco Santiago colegio sitio web
1 · FACIL,72.4,A · Directo Privado,9051,COLEGIO ANDREE ENGLISH SCHOOL,Particular Pagado,LA REINA,RM,1017,1750,1,1017,RUT:81306100,MAS DE $100.000,0,0,"-33,439731","-70,55145",,,,,nuevo,Colegio Andree English School La Reina colegio sitio web
1 · FACIL,72.4,B · Red Subvencionada,17600,COLEGIO SAN GABRIEL ARCANGEL,Particular Subvencionado,LOS ÁNGELES,BBIO,1435,2438,9,4706,RUT:70438001,$25.001 A $50.000,1,0,"-37,442551","-72,338333",,,,,nuevo,Colegio San Gabriel Arcangel Los Ángeles colegio sitio web
