SLEP;COMUNA;REGION;VIGENCIA;FUENTE
Aconcagua;San Felipe;Valparaíso;2026-01-01;mineduc.cl
Aconcagua;Catemu;Valparaíso;2026-01-01;mineduc.cl
Aconcagua;Llay-Llay;Valparaíso;2026-01-01;mineduc.cl
Aconcagua;Panquehue;Valparaíso;2026-01-01;mineduc.cl
Aconcagua;Putaendo;Valparaíso;2026-01-01;mineduc.cl
Aconcagua;Santa María;Valparaíso;2026-01-01;mineduc.cl
Los Álamos;Linares;Maule;2026-01-01;mineduc.cl
Los Álamos;Colbún;Maule;2026-01-01;mineduc.cl
Los Álamos;Yerbas Buenas;Maule;2026-01-01;mineduc.cl
Los Álamos;Villa Alegre;Maule;2026-01-01;mineduc.cl
Los Álamos;Parral;Maule;2026-01-01;mineduc.cl
Los Álamos;Retiro;Maule;2026-01-01;mineduc.cl
Los Álamos;Longaví;Maule;2026-01-01;mineduc.cl
Los Andes;Los Andes;Valparaíso;2026-01-01;sleplosandes / mineduc.cl
Los Andes;Rinconada;Valparaíso;2026-01-01;sleplosandes / mineduc.cl
Los Andes;San Esteban;Valparaíso;2026-01-01;sleplosandes / mineduc.cl
Los Andes;Calle Larga;Valparaíso;2026-01-01;sleplosandes / mineduc.cl
Los Parques;Quinta Normal;Metropolitana;2026-01-01;mineduc.cl
Los Parques;Renca;Metropolitana;2026-01-01;mineduc.cl
Marga Marga;Quilpué;Valparaíso;2026-01-01;mineduc.cl
Marga Marga;Villa Alemana;Valparaíso;2026-01-01;mineduc.cl
Marga Marga;Limache;Valparaíso;2026-01-01;mineduc.cl
Marga Marga;Olmué;Valparaíso;2026-01-01;mineduc.cl
Petorca;La Ligua;Valparaíso;2026-01-01;sleppetorca.gob.cl
Petorca;Cabildo;Valparaíso;2026-01-01;sleppetorca.gob.cl
Petorca;Papudo;Valparaíso;2026-01-01;sleppetorca.gob.cl
Petorca;Petorca;Valparaíso;2026-01-01;sleppetorca.gob.cl
Puelche;Antuco;Biobío;2026-01-01;educacionpublica.gob.cl
Puelche;Mulchén;Biobío;2026-01-01;educacionpublica.gob.cl
Puelche;Quilaco;Biobío;2026-01-01;educacionpublica.gob.cl
Puelche;Quilleco;Biobío;2026-01-01;educacionpublica.gob.cl
Puelche;Santa Bárbara;Biobío;2026-01-01;educacionpublica.gob.cl
Puelche;Tucapel;Biobío;2026-01-01;educacionpublica.gob.cl
Puelche;Alto Biobío;Biobío;2026-01-01;educacionpublica.gob.cl
Santiago Centro;Santiago;Metropolitana;2026-01-01;mineduc.cl
Tamarugal;Pozo Almonte;Tarapacá;2026-01-01;vilasradio / mineduc.cl
Tamarugal;Camiña;Tarapacá;2026-01-01;vilasradio / mineduc.cl
Tamarugal;Colchane;Tarapacá;2026-01-01;vilasradio / mineduc.cl
Tamarugal;Huara;Tarapacá;2026-01-01;vilasradio / mineduc.cl
Tamarugal;Pica;Tarapacá;2026-01-01;vilasradio / mineduc.cl
Valle Diguillín;Chillán;Ñuble;2026-01-01;ladiscusion.cl / mineduc.cl
Valle Diguillín;Bulnes;Ñuble;2026-01-01;ladiscusion.cl / mineduc.cl
Valle Diguillín;Chillán Viejo;Ñuble;2026-01-01;ladiscusion.cl / mineduc.cl
Valle Diguillín;Pemuco;Ñuble;2026-01-01;ladiscusion.cl / mineduc.cl
Valle Diguillín;San Ignacio;Ñuble;2026-01-01;ladiscusion.cl / mineduc.cl
Valle Diguillín;Yungay;Ñuble;2026-01-01;ladiscusion.cl / mineduc.cl
